U61350|UZI015
U52231|UZM599
U60933|UCC093
U60788|UZM083
U52151|UGB845
U52140|UAM406
U52129|UZM791
U50285|URM028
U60486|XCC048
U60368|UZL369
U60358|UZL369
U60315|UTE031
U60304|UDG081
U60250|UZM391
U60126|UCI012
U60051|UPM005
U59935|UHK449
U59850|UZR001
U59831|URM983
U59626|URM962
U59593|URM959
U59556|URA955
U59382|URM938
U51971|UHH597
U50344|XVR034
U59112|XAS273
U58902|UGE322
U58894|UGE004
U58852|URM885
U58815|XRM881
U58692|URM869
U58654|URM865
U58628|UZM756
U51954|ULS195
U51926|UDM735
U58550|UZV233
U58436|URM843
U58383|URM838
U58325|XRM832
U58250|UAM599
U58116|URM811
U57952|URM795
U57951|URM795
U57875|URM787
U57616|XLS761
U57611|XLS761
U57492|XLS749
U57426|URM742
U51776|UGE856
U51774|UGE856
U53429|UDA164
U53424|XRM342
U53363|XLS336
U53351|UVR335
U53255|ULS325
U53243|URM324
U53202|URM320
U50850|UZM290
U50826|URA082
U52887|UZM897
U52867|UZM897
U52864|UVR286
U52852|XVR285
U52330|UZL138
U52325|XLS232
U52271|UZR007
U56974|XVR697
U56888|XZM718
U56887|XZM718
U56851|UVR685
U56842|UVR684
U56406|URM640
U56363|URM636
U56262|URM626
U56094|URM609
U55981|URM598
U55817|UAN867
U50668|XZC124
U50643|URM064
U54991|UVR499
U54682|URM468
U54665|UZL272
U54425|UAM794
U50469|UZM448
U54169|XZE126
U54044|URM404
U53613|URM361
U53575|UHK563
U53520|UAM027
U53512|URA351
U50181|UZE222
U50020|UAM144
U49607|NI
U49573|UFS957
U49481|UFS948
U49395|URS939
U49301|URS930
U49191|UGE303
U49090|XZB599
U48868|UFS886
U48862|UFS886
U48740|UZV269
U48706|URO870
U48471|UFS847
U48368|UDD004
U48264|XRC826
U48261|XRC826
U48239|UZT121
U48019|XAS786
U48017|XAS786
U47997|UHH752
U47948|UZM868
U47939|UZM868
U47938|UZM868
U47917|UZV132
U47801|UFS780
U47561|UFS756
U47510|UAM028
U47498|UZV572
U39146|UBI914
U47451|UFS745
U47395|UFS739
U47345|UFS734
U47271|UFS727
U47182|UFS718
U46974|UFS697
U46873|UFS687
U46833|UFS683
U40394|URS039
U46695|UHO382
U46678|XZE763
U46540|UZM388
U46522|UFS652
U46311|UFS631
U46206|XFS620
U46030|XAS716
U45960|UZU240
U45917|XZN005
U45862|UFS586
U45834|UFS583
U45813|UFS581
U45804|UFS580
U45696|UFS569
U45526|URS552
U39174|XBI917
U51566|URM156
U51398|UZB574
U51081|URA108
U51064|URA106
U50932|XRA093
U41792|UZB416
U41528|XAM911
U41494|URS149
U41346|URS134
U41292|UZL251
U39260|UZB589
U40921|URV092
U40546|URS054
U40544|URS054
U40436|URS043
U45492|UZI044
U45489|XZT157
U45393|XRS539
U45358|XZI422
U45122|URS512
U45001|URC500
U44867|UAM916
U44752|UHF178
U44743|UHK616
U44742|UHK616
U44605|UHF024
U44509|XZU237
U44507|XZU237
U44329|UZV122
U44304|URO430
U44188|UZV062
U44004|URS400
U43945|URS394
U43742|UGC867
U43664|URS366
U43625|URS362
U43584|URS358
U43507|UHL367
U43471|URO347
U39015|XAR901
U38945|UBI894
U30206|UMA020
U43261|UDL979
U43107|XAS279
U43095|UDL184
U43036|UDL062
U43031|UDL062
U43007|UPP005
U42697|UGB980
U38854|UMG885
U42492|URC249
U42418|XZT141
U42327|XZS603
U42148|UGB847
U41985|UHC091
U38517|XZU225
U38507|XZU225
U38376|UMA837
U57681|ULS768
U57543|ULS754
U57446|URM744
U57392|XVR739
U51737|UHH894
U53291|XLS329
U53288|XTE313
U53234|URM323
U52943|XLS294
U50889|UZM509
U52849|UZM782
U52740|UZM973
U52685|UHC077
U52599|UZM481
U52501|UVR250
U52469|UVR246
U52415|UVR241
U52405|URM240
U52318|UZM721
U56862|UVR686
U56845|UVR684
U56826|UVR682
U56526|URM652
U56424|URM642
U56284|URM628
U56218|XSA279
U56083|URM608
U55810|UAM499
U55752|UVR575
U55694|URM569
U55594|XVR559
U55536|XRM553
U55511|UVR551
U55466|UVR546
U55439|UZU057
U55394|URM539
U55333|ULS533
U55264|UZI043
U55248|URV425
U50625|XAS583
U50562|XRA056
U54725|UBI415
U54361|URM436
U54344|URM434
U54274|URM427
U50501|UHN082
U54124|UZL234
U53997|UHG072
U53918|XZE276
U53747|UVR374
U53655|XVR365
U50372|XLS037
U50132|XVR013
U50127|XZB740
U49997|UZL085
U49946|XRC994
U49805|URS980
U49771|URV977
U49647|UNB286
U49432|URS943
U49272|UDL762
U49122|UNG847
U49112|UHK617
U48978|UZV696
U48957|XAS875
U40112|UAM845
U40095|URS009
U40072|XRV007
U40056|URS005
U48736|XRC873
U48679|XZU239
U48651|UNG776
U48568|UZB814
U48435|UFS843
U48304|UAM835
U48287|UZT121
U48252|UFS825
U48220|UAM439
U48183|XAS277
U48182|XAS277
U39976|UDL686
U47949|UZM868
U47730|UAM148
U47682|UFS768
U47483|UFS748
U47481|UFS748
U39944|UNG800
U47421|UFS742
U47417|UGA650
U47321|UFS732
U47309|XZE763
U47148|XFS714
U47127|UGA575
U47099|XAM952
U46984|XFS698
U46921|UFS692
U46845|UFS684
U46843|UFS684
U46610|UAM492
U46561|UFS656
U46539|UGE372
U46459|UZM692
U46457|UZM692
U46184|UZB374
U46162|UHO381
U46136|UGD335
U45943|URS594
U45920|UZU240
U45707|NI
U45563|URS556
U40252|XRS025
U51621|URM162
U51617|UZE229
U51524|URM152
U51487|UZL521
U51464|UZO495
U51387|URA138
U51379|UZB573
U51072|URA107
U51047|XZV134
U41594|URS159
U41355|URS135
U41260|XAS699
U41176|URV117
U41024|XRS102
U40850|XAS683
U40730|UZM311
U45462|UGA779
U45391|XRS539
U45336|URV533
U45121|URS512
U45042|URS504
U44852|URC485
U44725|UHN412
U44555|XRV455
U44467|XZU237
U44302|URO430
U44301|URO430
U44292|URS429
U43859|UMA651
U43466|URO346
U43390|UAS682
U43380|UAS682
U43376|URS337
U43332|URS333
U43267|UHP906
U43224|UDL771
U43127|XSA278
U42941|URS294
U42784|UAM894
U42757|UGB842
U42616|URS261
U42537|XZT157
U42491|URC249
U42224|UDD240
U42195|UHH415
U42134|UBI047
U38610|UZB222
U38606|XMG860
U38574|ULA857
U38496|UMA849
U38385|UBI838
U38274|XBI827
U30061|UHH006
U30015|UDD893
U28845|UGE838
U38151|UBI815
U38100|UAM402
U38053|UBI805
U37820|UAM812
U37749|NI
U37649|XZB646
U37637|XZT173
U29965|UHM278
U37535|UBI753
U37400|UAM695
U37381|UBI738
U37068|UHK576
U37004|ULA700
U36922|XZE367
U36785|UBI678
U36751|UBI675
U36682|XAR668
U36650|UZM941
U36623|ULA662
U30097|UZV076
U36532|UMA653
U36436|XMA643
U36258|XZT165
U36257|XZT165
U36036|UBI603
U30425|XMA042
U30369|UTS471
U35574|UBI557
U35477|XZV660
U35463|ULA546
U35412|ULA541
U35352|UMG535
U35158|UZM776
U35131|UZL318
U39760|UAM940
U39691|XLA969
U39606|UHP435
U39574|UAR957
U31584|UBI158
U31573|UAR157
U31554|UMA155
U31533|UMA153
U31484|UBI148
U31419|UHO540
U31345|ULA134
U31231|UMA123
U31215|UMA121
U31129|UHA073
U29242|XVA924
U31095|XLA109
U31084|XAR108
U31031|XLA103
U30992|UAR099
U30848|UGA325
U30532|XBI053
U30485|UBI048
U34621|UMA462
U34538|URC121
U34461|UAR446
U34359|XZE623
U34351|ULA435
U34299|UAT949
U34146|UBI414
U34038|XLA403
U33831|ULA383
U26838|UAM956
U33468|UMA346
U33341|UMA334
U33057|UVA142
U32916|UMA291
U32859|UHI062
U32812|UMA281
U32797|UGC890
U32791|UMA279
U32771|UMA277
U32577|UMA257
U32507|URC121
